N,Sparsity (#),Matrix Representation,Performance (ms)
5000,1000,Naive,370
5000,1000,Naive,380
5000,1000,Naive,380
10000,1000,Naive,1600
10000,1000,Naive,1800
10000,1000,Naive,1800
15000,1000,Naive,4480
15000,1000,Naive,4230
15000,1000,Naive,4030
20000,1000,Naive,8990
20000,1000,Naive,9450
20000,1000,Naive,9500
25000,1000,Naive,16200
25000,1000,Naive,16900
25000,1000,Naive,17800
30000,1000,Naive,27500
30000,1000,Naive,29400
30000,1000,Naive,28600
5000,1000,CSR,110
5000,1000,CSR,110
5000,1000,CSR,130
10000,1000,CSR,400
10000,1000,CSR,400
10000,1000,CSR,400
15000,1000,CSR,880
15000,1000,CSR,870
15000,1000,CSR,860
20000,1000,CSR,1570
20000,1000,CSR,1510
20000,1000,CSR,1550
25000,1000,CSR,2380
25000,1000,CSR,2390
25000,1000,CSR,2500
30000,1000,CSR,3370
30000,1000,CSR,3360
30000,1000,CSR,3730
5000,1000,COO,110
5000,1000,COO,110
5000,1000,COO,130
10000,1000,COO,400
10000,1000,COO,410
10000,1000,COO,410
15000,1000,COO,920
15000,1000,COO,890
15000,1000,COO,890
20000,1000,COO,1680
20000,1000,COO,1640
20000,1000,COO,1650
25000,1000,COO,2730
25000,1000,COO,2700
25000,1000,COO,2700
30000,1000,COO,3500
30000,1000,COO,3700
30000,1000,COO,3690
